date,code,action,price,shares,value,cost,hold_days
2022-05-20,601001,sell,29.72,785.9875082319622,23359.548744653915,23.359548744653917,15
2022-05-24,000983,buy,99.89,388.7227618609389,38829.516682289184,38.82951668228918,0
2022-05-24,601001,buy,32.38,1199.182108779777,38829.516682289184,38.82951668228918,0
2022-06-02,601898,sell,11.69,9943.782631751395,116242.8189651738,116.24281896517381,20
2022-06-06,601001,sell,31.34,1199.182108779777,37582.36728915821,37.58236728915821,13
2022-06-08,601001,buy,33.0,2583.4090979270254,85252.50023159184,85.25250023159184,0
2022-06-10,601898,buy,12.3,6237.294712065811,76718.72495840948,76.71872495840948,0
2022-06-16,000983,sell,113.97,388.7227618609389,44302.733169291205,44.30273316929121,23
2022-06-16,601898,sell,12.71,6237.294712065811,79276.01579035647,79.27601579035647,6
2022-06-20,601088,sell,45.57999999999999,1876.3162935140022,85522.4966583682,85.5224966583682,34
2022-06-24,601001,sell,33.89999999999999,2583.4090979270254,87577.56841972614,87.57756841972615,16
2022-06-24,601898,buy,11.46,8610.592854488927,98677.3941124431,98.6773941124431,0
2022-06-28,000983,buy,96.06,924.4200183404909,88799.78696178755,88.79978696178756,0
2022-06-29,601001,buy,36.3,1100.7014915552704,39955.46414345632,39.95546414345632,0
2022-06-29,601088,buy,46.37,861.6662528241602,39955.46414345631,39.95546414345631,0
2022-07-06,601088,sell,47.39,861.6662528241602,40834.36372133695,40.83436372133695,7
2022-07-11,601088,buy,46.12,1647.6842433034312,75991.19730115424,75.99119730115424,0
2022-07-14,000001,sell,2395.47,43.43150199796466,104038.86009106439,104.0388600910644,76
2022-07-21,601001,sell,31.76,1100.7014915552704,34958.27937179539,34.95827937179539,22
2022-07-21,601088,sell,45.67,1647.6842433034312,75249.73939166771,75.24973939166772,10
2022-07-21,601898,sell,10.82,8610.592854488927,93166.6146855702,93.1666146855702,27
2022-07-27,601001,buy,30.780000000000005,1609.7317487973432,49547.543227982234,49.54754322798224,0
2022-07-27,601898,buy,10.7,4630.611516633854,49547.543227982234,49.54754322798224,0
2022-08-09,601001,sell,29.92,1609.7317487973432,48163.17392401651,48.16317392401651,13
2022-08-10,601088,buy,44.61,2106.8632453873943,93987.16937673166,93.98716937673166,0
2022-08-11,601001,buy,31.38,2695.3171995577063,84579.05372212082,84.57905372212082,0
2022-08-12,000001,buy,2198.49,34.62043968566449,76112.69044453652,76.11269044453653,0
2022-08-26,000983,sell,108.39,924.4200183404909,100197.8857879258,100.1978857879258,59
2022-08-29,601898,sell,11.840000000000002,4630.611516633854,54826.44035694484,54.82644035694484,33
2022-08-31,601001,sell,37.28,2695.3171995577063,100481.4251995113,100.4814251995113,20
2022-09-06,000983,buy,103.39,909.3610087082134,94018.83469034218,94.01883469034217,0
2022-09-07,601001,buy,38.68,1093.686004884164,42303.77466891947,42.303774668919466,0
2022-09-07,601898,buy,12.74,3320.5474622385764,42303.77466891946,42.30377466891946,0
2022-09-15,000983,sell,109.29999999999998,909.3610087082134,99393.1582518077,99.3931582518077,9
2022-09-16,601898,sell,12.32,3320.5474622385764,40909.144734779264,40.90914473477927,9
2022-09-19,000983,buy,106.18,849.0726475558607,90154.5337174813,90.1545337174813,0
2022-09-21,601898,buy,12.15,6677.371596079129,81130.06489236142,81.13006489236142,0
2022-10-11,601001,sell,38.54,1093.686004884164,42150.65862823568,42.15065862823568,34
2022-10-13,000983,sell,112.8,849.0726475558607,95775.3946443011,95.7753946443011,24
2022-10-13,601898,sell,12.64,6677.371596079129,84401.97697444019,84.40197697444019,22
2022-10-24,000001,sell,2008.33,34.62043968566449,69529.26763391057,69.52926763391056,73
2022-10-31,000002,sell,2924.7,26.892873199275005,78653.5862459196,78.65358624591961,168
2022-10-31,601001,buy,30.72,3581.477302112763,110022.98272090408,110.02298272090408,0
2022-11-02,000001,buy,1930.32,51.29184909783952,99009.68215054157,99.00968215054158,0
2022-11-03,000983,buy,90.93,979.8615744778659,89098.81296727236,89.09881296727237,0
2022-11-04,601001,sell,29.42,3581.477302112763,105367.06222815749,105.3670622281575,4
2022-11-07,601898,buy,10.93,8298.828115813478,90706.1913058413,90.7061913058413,0
2022-11-08,601001,buy,32.04,2547.6436191050757,81626.50155612662,81.62650155612663,0
