date,actual,predicted,pred_return,signal,position,cash,total,returns
2022-08-31,93.72202660331575,94.91410238030784,-0.00258613829557075,-1,0.0,1000000,1000000.0,0.0
2022-09-01,92.78612718015012,95.68611093393348,0.008133760255481404,-1,0.0,1000000,1000000.0,0.0
2022-09-02,92.11721620781282,95.60204630726048,-0.0008785457560401833,-1,0.0,1000000,1000000.0,0.0
2022-09-05,92.51872734495991,95.6945676144184,0.0009677753848549298,-1,0.0,1000000,1000000.0,0.0
2022-09-06,92.05057194119618,95.4799667926595,-0.002242560127588389,-1,0.0,1000000,1000000.0,0.0
2022-09-07,90.91391694945698,95.13414681349526,-0.003621911389173449,-1,0.0,1000000,1000000.0,0.0
2022-09-08,91.11426113366868,94.91259584577966,-0.0023288269789178973,-1,0.0,1000000,1000000.0,0.0
2022-09-09,93.5212710347422,93.82917656161364,-0.011414915739175857,-1,0.0,1000000,1000000.0,0.0
2022-09-13,95.05943716362852,95.71816998869336,0.020132260521750434,-1,0.0,1000000,1000000.0,0.0
2022-09-14,93.58832668572067,97.62974134656888,0.019970830596754086,-1,0.0,1000000,1000000.0,0.0
2022-09-15,95.39348126543534,96.7097408844574,-0.00942336269073607,-1,0.0,1000000,1000000.0,0.0
2022-09-16,92.45167169398148,97.38839451515284,0.0070174278670258605,-1,0.0,1000000,1000000.0,0.0
2022-09-19,92.51872734495991,96.83374876325446,-0.005695193504931195,-1,0.0,1000000,1000000.0,0.0
2022-09-20,90.9805612160736,95.83533820073244,-0.010310563984907817,-1,0.0,1000000,1000000.0,0.0
2022-09-21,91.58241653743244,94.90418938311235,-0.009716132223269724,-1,0.0,1000000,1000000.0,0.0
2022-09-22,90.6465171142668,93.93505580825484,-0.01021170489055312,-1,0.0,1000000,1000000.0,0.0
2022-09-23,90.6465171142668,93.5572169485848,-0.004022341355088055,-1,0.0,1000000,1000000.0,0.0
2022-09-26,88.70725123259521,93.64226584448288,0.0009090575657548783,-1,0.0,1000000,1000000.0,0.0
2022-09-27,89.71020630673932,92.8669228277682,-0.008279840408841999,-1,0.0,1000000,1000000.0,0.0
2022-09-28,89.44280647154913,92.23299318543296,-0.006826215653887191,-1,0.0,1000000,1000000.0,0.0
2022-09-29,87.77135180942956,92.19595252316653,-0.0004015988312551233,-1,0.0,1000000,1000000.0,0.0
2022-09-30,87.63765189183447,91.895097577887,-0.0032632120721777236,-1,0.0,1000000,1000000.0,0.0
2022-10-10,85.16358633978251,90.41394313471532,-0.016117883132082178,-1,0.0,1000000,1000000.0,0.0
2022-10-11,85.23064199076096,88.849115763848,-0.017307367830819542,-1,0.0,1000000,1000000.0,0.0
2022-10-12,86.03284149633151,87.78602465224904,-0.011965128774320655,-1,0.0,1000000,1000000.0,0.0
2022-10-13,84.2947425675953,87.2332871774197,-0.006296417647557506,-1,0.0,1000000,1000000.0,0.0
2022-10-14,85.56509747692961,87.44646181315856,0.0024437303996729387,-1,0.0,1000000,1000000.0,0.0
2022-10-17,85.23064199076096,88.25057963936169,0.009195544445482984,-1,0.0,1000000,1000000.0,0.0
2022-10-18,85.23064199076096,87.99195787868908,-0.0029305389463669673,-1,0.0,1000000,1000000.0,0.0
2022-10-19,83.96028708142666,87.55673009705855,-0.004946222269886946,-1,0.0,1000000,1000000.0,0.0
2022-10-20,83.35843176006783,87.05457200812229,-0.005735231185308165,-1,0.0,1000000,1000000.0,0.0
2022-10-21,82.6228765211139,86.12778209707042,-0.010646079690856403,-1,0.0,1000000,1000000.0,0.0
2022-10-24,79.48072276544832,85.56628663485053,-0.0065193303316118945,-1,0.0,1000000,1000000.0,0.0
2022-10-25,79.68106694966004,84.22479798600558,-0.0156777710194399,-1,0.0,1000000,1000000.0,0.0
2022-10-26,79.7481226006385,82.95951487537826,-0.01502269095186859,-1,0.0,1000000,1000000.0,0.0
2022-10-27,79.88182251823359,82.04902064613965,-0.010975163374645436,-1,0.0,1000000,1000000.0,0.0
2022-10-28,78.14331220513556,81.59052192783034,-0.005588107142518228,-1,0.0,1000000,1000000.0,0.0
2022-10-31,77.60851253475519,81.20548685489733,-0.0047191152089158805,-1,0.0,1000000,1000000.0,0.0
2022-11-01,79.81476686725513,80.1224040301093,-0.013337557186540283,-1,0.0,1000000,1000000.0,0.0
2022-11-02,79.54736703206494,80.8073148008785,0.008548305296878222,-1,0.0,1000000,1000000.0,0.0
2022-11-03,78.27701212273065,81.54650098891663,0.009147515789376337,-1,0.0,1000000,1000000.0,0.0
2022-11-04,80.81772194139924,80.28730929956495,-0.015441394469185465,-1,0.0,1000000,1000000.0,0.0
2022-11-07,81.21882169418451,81.70442598172502,0.017650568869764793,-1,0.0,1000000,1000000.0,0.0
2022-11-08,81.01847750997278,82.43112802030622,0.008894279959126505,-1,0.0,1000000,1000000.0,0.0
2022-11-09,81.28587734516297,82.56623403679428,0.0016390169555218215,-1,0.0,1000000,1000000.0,0.0
2022-11-10,81.15217742756788,83.22621668290373,0.007993372276315025,-1,0.0,1000000,1000000.0,0.0
2022-11-11,84.89618650459232,83.0940132562733,-0.0015884829552462731,-1,0.0,1000000,1000000.0,0.0
