date,total
2023-09-12,1390408.1160000018
2023-09-13,1380585.1160000018
2023-09-14,1370438.1160000018
2023-09-15,1383838.1160000018
2023-09-18,1374226.1160000018
2023-09-19,1366640.1160000018
2023-09-20,1365414.1160000018
2023-09-21,1348825.1160000018
2023-09-22,1372682.1160000018
2023-09-25,1382117.2100000018
2023-09-26,1367795.2100000018
2023-09-27,1365932.2100000018
2023-09-28,1356987.2100000018
2023-10-09,1340988.2100000018
2023-10-10,1360003.2100000018
2023-10-11,1358043.2100000018
2023-10-12,1353100.2100000018
2023-10-13,1348327.040000002
2023-10-16,1362764.040000002
2023-10-17,1349603.040000002
2023-10-18,1346834.040000002
2023-10-19,1316711.040000002
2023-10-20,1299034.040000002
2023-10-23,1278967.040000002
2023-10-24,1278836.040000002
2023-10-25,1312807.040000002
2023-10-26,1317292.040000002
